sample	samples	TP53 (average)
TCGA-66-2792-01	TCGA-66-2792-01	0.3272999999999999
TCGA-BQ-7045-01	TCGA-BQ-7045-01	0.3259
TCGA-K4-A3WV-01	TCGA-K4-A3WV-01	0.3256
TCGA-A4-A4ZT-01	TCGA-A4-A4ZT-01	0.32480000000000003
TCGA-B3-4103-01	TCGA-B3-4103-01	0.32460000000000006
TCGA-V4-A9E8-01	TCGA-V4-A9E8-01	0.32450000000000007
TCGA-F7-A50I-01	TCGA-F7-A50I-01	0.3243
TCGA-VF-A8A8-01	TCGA-VF-A8A8-01	0.3242
TCGA-72-4235-01	TCGA-72-4235-01	0.324
TCGA-A2-A0ET-01	TCGA-A2-A0ET-01	0.3214
TCGA-24-2260-01	TCGA-24-2260-01	0.3211
TCGA-D3-A1Q1-06	TCGA-D3-A1Q1-06	0.321
TCGA-DK-A2I6-01	TCGA-DK-A2I6-01	0.3206
TCGA-Y8-A898-01	TCGA-Y8-A898-01	0.3206
TCGA-61-1740-01	TCGA-61-1740-01	0.3192
TCGA-25-1634-01	TCGA-25-1634-01	0.3189
TCGA-JY-A6FE-01	TCGA-JY-A6FE-01	0.3184
TCGA-B5-A1MU-01	TCGA-B5-A1MU-01	0.31820000000000004
TCGA-SX-A7SR-01	TCGA-SX-A7SR-01	0.31810000000000005
TCGA-13-0891-01	TCGA-13-0891-01	0.3175
TCGA-DW-7963-01	TCGA-DW-7963-01	0.3172
TCGA-2Z-A9J1-01	TCGA-2Z-A9J1-01	0.3163
TCGA-AT-A5NU-01	TCGA-AT-A5NU-01	0.3162
TCGA-5P-A9KE-01	TCGA-5P-A9KE-01	0.316
TCGA-DZ-6133-01	TCGA-DZ-6133-01	0.313
TCGA-KV-A6GE-01	TCGA-KV-A6GE-01	0.3124
TCGA-IG-A3QL-01	TCGA-IG-A3QL-01	0.312
TCGA-A3-3313-01	TCGA-A3-3313-01	0.3111
TCGA-B9-4617-01	TCGA-B9-4617-01	0.3109
TCGA-DX-A3M2-01	TCGA-DX-A3M2-01	0.3102
TCGA-EL-A4KI-01	TCGA-EL-A4KI-01	0.3094
TCGA-GV-A3QI-01	TCGA-GV-A3QI-01	0.3091
TCGA-VD-A8KL-01	TCGA-VD-A8KL-01	0.3087
TCGA-13-0920-01	TCGA-13-0920-01	0.3085
TCGA-SX-A7SP-01	TCGA-SX-A7SP-01	0.3085
TCGA-DX-AB2V-01	TCGA-DX-AB2V-01	0.3084
TCGA-BQ-7060-01	TCGA-BQ-7060-01	0.3079
TCGA-B1-A657-01	TCGA-B1-A657-01	0.3076
TCGA-G7-6796-01	TCGA-G7-6796-01	0.3076
TCGA-HE-A5NI-01	TCGA-HE-A5NI-01	0.3068
TCGA-DW-5561-01	TCGA-DW-5561-01	0.3061
TCGA-GC-A3RB-01	TCGA-GC-A3RB-01	0.3057
TCGA-F9-A8NY-01	TCGA-F9-A8NY-01	0.3056
TCGA-B9-4114-01	TCGA-B9-4114-01	0.3055
TCGA-AO-A0J7-01	TCGA-AO-A0J7-01	0.3051
TCGA-UZ-A9PO-01	TCGA-UZ-A9PO-01	0.3048
TCGA-10-0928-01	TCGA-10-0928-01	0.3047
TCGA-Q1-A5R3-01	TCGA-Q1-A5R3-01	0.3042
TCGA-AR-A24Q-01	TCGA-AR-A24Q-01	0.304
TCGA-VR-A8EY-01	TCGA-VR-A8EY-01	0.304
TCGA-GF-A769-01	TCGA-GF-A769-01	0.3024
TCGA-A4-A772-01	TCGA-A4-A772-01	0.3022
TCGA-J7-6720-01	TCGA-J7-6720-01	0.3016
TCGA-FG-A6J3-01	TCGA-FG-A6J3-01	0.3011
TCGA-BQ-5881-01	TCGA-BQ-5881-01	0.3009
TCGA-FX-A48G-01	TCGA-FX-A48G-01	0.3008
TCGA-DW-7834-01	TCGA-DW-7834-01	0.3006
TCGA-EM-A2OY-01	TCGA-EM-A2OY-01	0.2997
TCGA-A4-7996-01	TCGA-A4-7996-01	0.2993
TCGA-EV-5903-01	TCGA-EV-5903-01	0.2985
TCGA-DH-A669-02	TCGA-DH-A669-02	0.2978
TCGA-30-1862-01	TCGA-30-1862-01	0.2976
